category,englishExample,englishMeaning,headword,hindiExample,hindiMeaning,kashmiriExample
VT,The company has allocated funds for the project.,allocate,مُشخَص کَرُن,,निर्धारित_करना,
N,The allocation of funds requires a responsible representative.,allocation,تَشخیص،مُقرَر,,निर्धारण,
N,The allotment of this plot is made to the medical college.,allotment,نام ذَد، اَلاٹ مینٹ,,आबंटन,
VT,We are allowed to use mobile phones inside the work place.,allow,اِجازت دیُن,,अनुमति_देना/आज्ञा_देना,
VT,The judge allowed her claim.,allow,جٲیِز قَرار دیُن,,स्वीकार_करना/मान_लेना,
N,The company paid the travel allowance.,allowance,ؤظیٖفہٕ,,भत्ता,
N,France is an ally of America.,ally,بوج,,मित्र/सहबद्ध,
VT,Italy and Japan allied with Germany in the second world war.,ally,سَمجوتہٕ کَرُن,,समबद्ध_करना,
Adv,Almost everybody passed in the exam.,almost,اَلہٕ پَلٕہ ،لگ بگ,,लगभग/अधिकतर,
Adv,He was alone when we met him.,alone,کُنُےٕ زوٚن,,अकेला,
Prep,Take your baggage along.,along,سۭتۍ,,साथ,
Prep,His little sister came along to see the movie.,along,سۭتۍ,,साथ,
Adv,We were walking along chatting.,along,برٛونٛہہ کُن,,आगे_बढना,
Prep,The truck drew up alongside the river bank..,alongside,سۭتۍ,,बगल~में,
Prep,My house is alongside the cinema hall.,alongside,سۭتۍ,,बगल_में,
Adv,Please read the passage aloud.,aloud,زورٕ سان,,ज़ोर_से,
N,Children are taught alphabets in nursery.,alphabet,اَچَھر,,वर्णमाला,
Adv,She had already graduated when I joined the college.,already,گۄڈے,,पहले_से,
Adv,She is also well versed in Persian poetry.,also,تِہ,,भी,
V,The examination schedule altered our travel plans.,alter,تَبدیٖلی اَنٕنۍ,,बदल_जाना,
N,"He was left with no other alternative,so he resigned.",alternative,گُنٛجٲیِش,,विकल्प,
Adj,We have to find an alternative means of transport to reach there.,alternative,مُتبادلہٕ,,वैकल्पक,
Conj,"Although I gave him money,yet he didn`t buy the book.",although,حالانٛکِہ,,यद्यपि,
Conj,"Although we gave him money,he didn`t buy the book.",although,حالانٛکِہ,,हालांि,
Adv,He earns altogether fifty thousand in a month.,altogether,کُل ہُم پٲٹھۍ،پوٗرٕ پٲٹھۍ,,पूर्णरुप_से,
Adv,We talked less and less and eventually stopped talking altogether.,altogether,اَلٕہ پَلٕہ ،کُل ہُم پٲٹھۍ,,कुल_मिलाकर,
N,Aluminium foils are best to wrap the food in travel.,aluminium,مِس,,अलमुनियम,
Adv,I am always at home on Sundays.,always,پرٛٮ۪تھ وِزِ ،ہمیٚشہِ,,हमेशा,
Adv,I will always be there to help you.,always,ہَر وِزِ،ہَر ہمیٚشہِ,,हमेशा,
N,He is  an amateur painter.,amateur,شوقیٖن,,अव्यवसायी,
V,I was amazed by her comments.,amaze,حٲران گَژُھن،تٲجِب گَژُھن,,चकित_करना,
Adj,She gave me an amazing look.,amazing,حٲرت اَنٛگیز,,आश्चर्यजनक,
N,He is presently posted as India`s Ambassador in China.,ambassador,سٔفیٖر,,राजदूत,
N,This attempt shall serve as an ambassador of good will between us.,ambassador,سٔفیٖر,,दूत,
Adj,She has a knack of using ambiguous sentences in her conversation.,ambiguous,ؤلِتھ،اَکِہ کھۄتٕہ زیادٕ مَطلب وول,,द्वयार्थी,
N,Her ambition in life is to achieve success.,ambition,مَقصَد،تَمَاہ,,महत्वाकांक्षा,
Adj,It is a highly ambitious schedule.,ambitious,مَقصَد وول,,महत्वाकांक्षी,
VT,The committee has to ammend the rules.,amend,دُرس کَرُن ،ٹھیٖک کَرُن,,संशोधन_करना,
N,The present budget passed without any amendments.,amendment,اِصلاح ،تبدیٖلی،تَرمیٖم,,संशोधन/शुद्धता,
Prep,He carried on his work amidst disruption.,amidst,منٛز,,बीच_में,
N,Huge illegal sale of arms and ammunition takes place at the borders.,ammunition,گولٕہ بوٚروٗد,,युद्ध_उपकरण/लड़ाई_का_सामान,
Prep,He picked the best one amongst a pile of old books.,amongst,سارِوے منٛز,,सबमें,
V,The total cost amounted to Rs.250.,amount,واتُن,,के_बराबर_होना,
N,They spent large amount of money on thier wedding.,amount,رَقَم,,रक़म,
N,You can expect some amount of confusion in the meeting.,amount,کینٛہہ,,कुछ_हद_तक,
Adj,The election was given ample coverage on T.V.,ample,وارِیاہ,,पर्याप्त_रूप_से/बहुत_बड़ा,
VT,The magician amused children.,amuse,مَن رَنٛزٕناوُن،دِل خۄش کَرُن,,मनोरंजन_करना,
N,He hunts for amusement.,amusement,دِل بٔہلٲیی,,मनोरंजन,
Adj,My grandfather told me an amusing story.,amusing,دِلچسٕپ,,विनोदी/मनोरंक,
V,They have analysed the market strategy properly.,analyse,وٮ۪ژھنے کَرٕنۍ,,विश्लेषण_करना,
V,Psychologist analysed the cause of depression.,analyse,وٮ۪ژھنَے کَرٕنۍ،تَجزِیہ کَرٕنۍ,,मनोविश्लेषण,
N,I was more interested in her analysis of the case study.,analysis,وٮ۪ژھٕنے ، تَجزِیہ,,विश्लेषण,
Adj,She has an analytic approach.,analytic,تَجزِیٲتی,,वैश्लेषक,
N,The failure of government to implement control can lead to anarchy.,anarchy,اَفراتَفری,,अव्यवस्था/अराजकता,
N,They brought the boat to harbour and dropped the anchor.,anchor,ہُکہٕ,,लंगर,
V,The sailor anchored the boat to the shore.,anchor,ہُکہٕ ترٛاوُن,,लंगर_डालना,
V,The foresightedness of manager helped to anchor the company successfully.,anchor,احتِماد حٲصِل کَرُن,,नींव,
Adj,India and China are the most ancient civilizations of the world.,ancient,پرٛون ،قٔدیٖم,,प्राचीन,
N,She could sense my anger.,anger,ژَکھ ،شرٛارَت,,क्रोध,
VT,He angered everyone in the family by talking rudely to his brother.,anger,ژَکھ کَھسٕنۍ ،شَرٛارَت کَھسُن,,क्रोधित_करना,
N,He wore his hat at a jaunty angle. angle.,angle,زٲوِیِہ,,कोण,
N,We can look at this problem from a different angle.,angle,نَظَریَہ,,दृष्टिकोण,
V,He was expertise in angling the fishing rod.,angle,وول ترٛاوُن,,काटे_से_मछली_पकड़ना,
V,He angled at the guard for a free entry.,angle,اِشارٕ کَرُن,,इशारे_से_माँगना,
Adj,He is an angry man.,angry,شَرارتی,,क्रोधित,
N,We should be kind to animals.,animal,جانوَر,,पशु,
Adj,He behaves with his wife as an animal.,animal,وحشِیانہٕ,,पाशविक/जंगली,
N,We were invited on their wedding  anniversary.,anniversary,وَہَروٲر ،وٕہَروود,,वर्षगाँठ,
VT,She announced her engagemnet on new year party.,announce,اعلان کَرُن,,घोषणा_कर,
N,She made an announcement about the withdrawl of her support to the institute.,announcement,اعلان,,घोषणा,
V,Tim annoyed me in the meeting.,annoy,پَریشان کَرُن ،تنٛگ کَرُن,,परेशान_करना,
VT,I was annoyed when they abused me.,annoy,پَسرٕ یُن،تنٛگ گَژُھن,,चिढ़ाना/सताना,
N,I understand your reason of annoyance.,annoyance,رِش,,चिढ़,
Adj,We need to look at the annual reports of last one decade.,annual,سالانہٕ,,वार्षक,
Adv,You can pay the annually as well.,annually,ؤریہِ پتہٕ ؤریہِ،پرٛٮ۪تھ ؤرِیِہ,,वार्षिक_में,
N,No Example,anode,اےنوٚڈ,,अऐनोड,
Adj,There was a phone call from an anonymous person.,anonymous,گُمنام,,गुमनाम,
Det,Give me another cup af tea.,another,بیٛاکھ,,एक_और,
Adj,I want another piece of cake.,another,بیٛاکھ,,एक_और/दूसरा,
N,She didn`t answer to my question.,answer,جواب,,उत्तर,
V,She didn`t want to answer his question.,answer,جواب دیُن,,उत्तर_देना,
N,Ants have large and highly organized groups.,ant,ریٚیِہ,,चींटी,
V,He could anticipate the trouble.,anticipate,آگٲہی کَرٕنۍ,,पूर्वानुमान_करना,
N,We never had an anticipation that such a disaster will take place.,anticipation,آگٲہی,,पूर्वानुमान,
N,This explains his anxiety over the examination.,anxiety,پَریشٲنی,,चिन्ता/व्याकुलता,
N,Cricket lovers were watching the match with great anxiety.,anxiety,جوش،بٖٖےتٲبی,,उत्सुकता,
Adj,He is anxious about his future.,anxious,پَریشان,,चिन्तित,
Adj,He is an anxious father.,anxious,فِکِر منٛد,,चिन्ता_करनेवाला,
Adj,We had a few anxious moments before the plane landed safely.,anxious,پَریشان,,चिन्ताजनक,
Adj,They are anxious to know about the next President.,anxious,بٖٖےتاب,,उत्सुक,
det,Has she left any cake in the refrigerator.,any,کانٛہہ,,किसी_भी,
Adv,Are you feeling any better.,any,کُنِہ پٲٹھۍ,,किसी_भी_स्थिति_में,
Adj,I need any book from the shelf.,any,کانٛہہ تِہ,,कोई_भी,
Pron,Is there any water in the jug?,any,کینٛہہ,,कुछ/किंचित,
Pron,Anybody can come to lounge.,anybody,کانٛہہ تِہ,,कोई_भी,
Pron,I can`t lend my book to anybody.,anybody,کٲنٛسِہ تِہ,,किसी_को_भी,
Adv,Anyhow they managed to escape the police.,anyhow,کُنِہ پٲٹھۍ,,किसी_प्रकार_से,
Pron,Anyone of you can go and get the tickets.,anyone,کانٛہہ اَکھ,,कोई_एक,
N,Give me anything to eat.,anything,کینٛہہ تِہ,,कुछ_भी,
Pron,Do you want anything to eat?,anything,کینٛہہ,,कुछ_भी,
Adv,You can solve this problem in anyway.,anyway,کُنِہ پٲٹھۍ,,कैसे_भी,
Adv,You can find this food anywhere.,anywhere,کُنِہ  تِہ جایِہ,,कहीं_भी,
Adv,The two buildings stood about 50m apart.,apart,دوٗر دوٗر,,पृथक,
Part,They decided to stay apart.,apart,بیوٚن،اَلَگ,,पृथक,
N,We live in a three room apartment.,apartment,روزَن جاے,,घर{बड़ी_इमारत_में},
VT,The students apologized before the Principal for teasing freshers.,apologize,مٲفی مَنٛگٕنۍ,,क्षमा_माँगना,
N,He is supported by the life saving breathing apparatus.,apparatus,سامانٕہ,,उपकरण,
N,The whole apparatus of this theory seems falling apart.,apparatus,نِظام,,संगठन,
Adj,There was no apparent reason for his screaming..,apparent,واضِح,,स्पष्ट,
Adv,Apparently they have left the city for some time.,apparently,باسنہٕ کِنۍ,,ऊपरी_तौर_से/आभास_से,
N,He filed an appeal to release his imprisoned friend.,appeal,أپیٖل،گُزٲرِش,,अपील/याचना,
V,The government appealed to the public to donate blood for soldiers.,appeal,أپیٖل کَرٕنۍ،گُزٲرش کَرٕنۍ,,अपील_करना/याचना_करना,
